Ranking,Experimento,Score_Medio_MyMoE,Horizonte,Max_Epocas,Max_Ultima_Loss,Max_Ano,Min_Epocas,Min_Ultima_Loss,Min_Ano,Media_Epocas,Prob_MyMoE_vs_Time-MoE,Prob_MyMoE_vs_Timer,Prob_MyMoE_vs_TimesFM,Prob_MyMoE_vs_Morai,Prob_MyMoE_vs_Chronos
3,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.001,0.40325446273262006,horizon_3,12,0.0979227114182252,2020,6,0.1023975639389111,2021,9.4,0.35878016956161934,0.419312282156108,0.28151476074698123,0.6855292591312102,0.27113584206718155
3,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.001,0.40325446273262006,horizon_6,11,0.1420119427717649,2021,6,0.1035821764514996,2022,8.0,0.35878016956161934,0.419312282156108,0.28151476074698123,0.6855292591312102,0.27113584206718155
4,model_topk_1_norm_std_noise_True_ep_20_lr_0.001,0.3968507581762538,horizon_12,11,0.1543204899017627,2023,6,0.2845071072761829,2021,7.8,0.3488623158726262,0.35978507965450013,0.27996987453612465,0.6943087387486495,0.3013277820693683
4,model_topk_1_norm_std_noise_True_ep_20_lr_0.001,0.3968507581762538,horizon_24,12,0.2216807580911196,2024,6,0.3391765562387613,2020,7.8,0.3488623158726262,0.35978507965450013,0.27996987453612465,0.6943087387486495,0.3013277820693683
4,model_topk_1_norm_std_noise_True_ep_20_lr_0.001,0.3968507581762538,horizon_3,12,0.0979227114182252,2020,6,0.1023975639389111,2021,9.4,0.3488623158726262,0.35978507965450013,0.27996987453612465,0.6943087387486495,0.3013277820693683
4,model_topk_1_norm_std_noise_True_ep_20_lr_0.001,0.3968507581762538,horizon_6,11,0.1420119427717649,2021,6,0.1035821764514996,2022,8.0,0.3488623158726262,0.35978507965450013,0.27996987453612465,0.6943087387486495,0.3013277820693683
5,model_topk_1_norm_std_noise_True_ep_20_lr_0.0001,0.3795610479066564,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.29080789668042634,0.45901900061172135,0.23112420589496205,0.6646609143111073,0.25219322203506506
5,model_topk_1_norm_std_noise_True_ep_20_lr_0.0001,0.3795610479066564,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.29080789668042634,0.45901900061172135,0.23112420589496205,0.6646609143111073,0.25219322203506506
5,model_topk_1_norm_std_noise_True_ep_20_lr_0.0001,0.3795610479066564,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.29080789668042634,0.45901900061172135,0.23112420589496205,0.6646609143111073,0.25219322203506506
5,model_topk_1_norm_std_noise_True_ep_20_lr_0.0001,0.3795610479066564,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.29080789668042634,0.45901900061172135,0.23112420589496205,0.6646609143111073,0.25219322203506506
6,model_topk_1_norm_std_noise_True_ep_80_lr_0.0001,0.3791232689910839,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.2801507091883707,0.4481133600600962,0.26001501750962375,0.6657784841949866,0.2415587740023422
6,model_topk_1_norm_std_noise_True_ep_80_lr_0.0001,0.3791232689910839,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.2801507091883707,0.4481133600600962,0.26001501750962375,0.6657784841949866,0.2415587740023422
6,model_topk_1_norm_std_noise_True_ep_80_lr_0.0001,0.3791232689910839,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.2801507091883707,0.4481133600600962,0.26001501750962375,0.6657784841949866,0.2415587740023422
6,model_topk_1_norm_std_noise_True_ep_80_lr_0.0001,0.3791232689910839,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.2801507091883707,0.4481133600600962,0.26001501750962375,0.6657784841949866,0.2415587740023422
7,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.0001,0.3774223454181359,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.30149309061143886,0.4378641926805296,0.24128926981849372,0.675171127095675,0.23129404688454241
7,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.0001,0.3774223454181359,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.30149309061143886,0.4378641926805296,0.24128926981849372,0.675171127095675,0.23129404688454241
7,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.0001,0.3774223454181359,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.30149309061143886,0.4378641926805296,0.24128926981849372,0.675171127095675,0.23129404688454241
7,model_topk_1_norm_minmax_noise_True_ep_80_lr_0.0001,0.3774223454181359,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.30149309061143886,0.4378641926805296,0.24128926981849372,0.675171127095675,0.23129404688454241
8,model_topk_1_norm_std_noise_True_ep_50_lr_0.0001,0.36556803974444485,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.29061883218860046,0.37846926497937583,0.2516880012715331,0.646255771870927,0.2608083284117882
8,model_topk_1_norm_std_noise_True_ep_50_lr_0.0001,0.36556803974444485,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.29061883218860046,0.37846926497937583,0.2516880012715331,0.646255771870927,0.2608083284117882
8,model_topk_1_norm_std_noise_True_ep_50_lr_0.0001,0.36556803974444485,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.29061883218860046,0.37846926497937583,0.2516880012715331,0.646255771870927,0.2608083284117882
8,model_topk_1_norm_std_noise_True_ep_50_lr_0.0001,0.36556803974444485,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.29061883218860046,0.37846926497937583,0.2516880012715331,0.646255771870927,0.2608083284117882
9,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001,0.36344803737796627,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.3006240899887238,0.36929800840855037,0.2508835006200714,0.6647474039140817,0.23168718395840396
9,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001,0.36344803737796627,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.3006240899887238,0.36929800840855037,0.2508835006200714,0.6647474039140817,0.23168718395840396
9,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001,0.36344803737796627,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.3006240899887238,0.36929800840855037,0.2508835006200714,0.6647474039140817,0.23168718395840396
9,model_topk_1_norm_minmax_noise_True_ep_50_lr_0.0001,0.36344803737796627,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.3006240899887238,0.36929800840855037,0.2508835006200714,0.6647474039140817,0.23168718395840396
10,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001,0.3343036639153616,horizon_12,18,0.270386482660587,2021,9,0.1898671445938257,2020,12.2,0.2617282265142163,0.33066261037306366,0.24049614728956475,0.6067822267362212,0.2318491086637419
10,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001,0.3343036639153616,horizon_24,11,0.2113816646429208,2024,6,0.3049884897011977,2022,8.0,0.2617282265142163,0.33066261037306366,0.24049614728956475,0.6067822267362212,0.2318491086637419
10,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001,0.3343036639153616,horizon_3,20,0.0976149932696269,2020,6,0.0740418239281727,2022,12.0,0.2617282265142163,0.33066261037306366,0.24049614728956475,0.6067822267362212,0.2318491086637419
10,model_topk_1_norm_minmax_noise_True_ep_20_lr_0.0001,0.3343036639153616,horizon_6,10,0.1481670433512101,2024,6,0.1394981323526455,2020,7.6,0.2617282265142163,0.33066261037306366,0.24049614728956475,0.6067822267362212,0.2318491086637419
