Ranking,Experimento,Score_Medio_MyMoE,Horizonte,Max_Epocas,Max_Ultima_Loss,Max_Ano,Min_Epocas,Min_Ultima_Loss,Min_Ano,Media_Epocas,Prob_MyMoE_vs_Time-MoE,Prob_MyMoE_vs_Timer,Prob_MyMoE_vs_TimesFM,Prob_MyMoE_vs_Morai,Prob_MyMoE_vs_Chronos
6,model_topk_2_norm_minmax_noise_True_ep_80_lr_1e-05,0.47431634403123885,horizon_12,18,0.2734882350151355,2021,6,0.1449249856747113,2023,11.2,0.4679246743053294,0.5273825900039003,0.331399473765959,0.724924032761573,0.3199509493194323
6,model_topk_2_norm_minmax_noise_True_ep_80_lr_1e-05,0.47431634403123885,horizon_24,15,0.2741145331125993,2023,6,0.3241682946681976,2020,9.2,0.4679246743053294,0.5273825900039003,0.331399473765959,0.724924032761573,0.3199509493194323
6,model_topk_2_norm_minmax_noise_True_ep_80_lr_1e-05,0.47431634403123885,horizon_3,16,0.0984582602977752,2021,6,0.1244470052994214,2024,10.6,0.4679246743053294,0.5273825900039003,0.331399473765959,0.724924032761573,0.3199509493194323
6,model_topk_2_norm_minmax_noise_True_ep_80_lr_1e-05,0.47431634403123885,horizon_6,11,0.1464239381826841,2021,6,0.1026829733298375,2023,8.6,0.4679246743053294,0.5273825900039003,0.331399473765959,0.724924032761573,0.3199509493194323
7,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001,0.47408087924714126,horizon_12,34,0.1788257417770532,2022,8,0.1385014664668303,2023,17.4,0.40884162965717474,0.5868227886974117,0.30018843159966996,0.7342914990824676,0.34026004719898234
7,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001,0.47408087924714126,horizon_24,39,0.2544098060864668,2022,11,0.1821504292579797,2021,20.0,0.40884162965717474,0.5868227886974117,0.30018843159966996,0.7342914990824676,0.34026004719898234
7,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001,0.47408087924714126,horizon_3,31,0.0739244729853593,2023,12,0.0894726812839508,2020,22.4,0.40884162965717474,0.5868227886974117,0.30018843159966996,0.7342914990824676,0.34026004719898234
7,model_topk_2_norm_std_noise_False_ep_80_lr_0.0001,0.47408087924714126,horizon_6,29,0.1199792142097766,2024,13,0.0902155144856526,2022,19.2,0.40884162965717474,0.5868227886974117,0.30018843159966996,0.7342914990824676,0.34026004719898234
8,model_topk_2_norm_minmax_noise_False_ep_80_lr_0.0001,0.47395102209695084,horizon_12,34,0.1788257417770532,2022,8,0.1385014664668303,2023,17.4,0.40826160471070483,0.5566011801995453,0.320118452325891,0.7242493857388027,0.36052448750981037
8,model_topk_2_norm_minmax_noise_False_ep_80_lr_0.0001,0.47395102209695084,horizon_24,39,0.2544098060864668,2022,11,0.1821504292579797,2021,20.0,0.40826160471070483,0.5566011801995453,0.320118452325891,0.7242493857388027,0.36052448750981037
8,model_topk_2_norm_minmax_noise_False_ep_80_lr_0.0001,0.47395102209695084,horizon_3,31,0.0739244729853593,2023,12,0.0894726812839508,2020,22.4,0.40826160471070483,0.5566011801995453,0.320118452325891,0.7242493857388027,0.36052448750981037
8,model_topk_2_norm_minmax_noise_False_ep_80_lr_0.0001,0.47395102209695084,horizon_6,29,0.1199792142097766,2024,13,0.0902155144856526,2022,19.2,0.40826160471070483,0.5566011801995453,0.320118452325891,0.7242493857388027,0.36052448750981037
9,model_topk_2_norm_std_noise_True_ep_20_lr_0.001,0.4737490024554628,horizon_12,20,0.2576479590856112,2021,13,0.1628519434195298,2020,17.8,0.4485284575299117,0.5068671850905028,0.3212075699046682,0.7535051680676853,0.33863663168454616
9,model_topk_2_norm_std_noise_True_ep_20_lr_0.001,0.4737490024554628,horizon_24,20,0.2329808221413539,2020,14,0.172325085562009,2024,18.8,0.4485284575299117,0.5068671850905028,0.3212075699046682,0.7535051680676853,0.33863663168454616
9,model_topk_2_norm_std_noise_True_ep_20_lr_0.001,0.4737490024554628,horizon_3,20,0.0865914924786641,2020,17,0.09719074345552,2024,19.4,0.4485284575299117,0.5068671850905028,0.3212075699046682,0.7535051680676853,0.33863663168454616
9,model_topk_2_norm_std_noise_True_ep_20_lr_0.001,0.4737490024554628,horizon_6,20,0.1265131561801983,2020,10,0.1355515494942665,2021,17.4,0.4485284575299117,0.5068671850905028,0.3212075699046682,0.7535051680676853,0.33863663168454616
10,model_topk_2_norm_minmax_noise_False_ep_80_lr_1e-05,0.4705131817770517,horizon_12,17,0.257964918246636,2021,7,0.1915174310023968,2022,10.8,0.42923470688033105,0.5285555210559524,0.33067368966282906,0.7339619698862513,0.33014002139989496
10,model_topk_2_norm_minmax_noise_False_ep_80_lr_1e-05,0.4705131817770517,horizon_24,22,0.2514627369550558,2023,7,0.1849528241616029,2024,14.6,0.42923470688033105,0.5285555210559524,0.33067368966282906,0.7339619698862513,0.33014002139989496
10,model_topk_2_norm_minmax_noise_False_ep_80_lr_1e-05,0.4705131817770517,horizon_3,33,0.1049842696923476,2024,15,0.0661777361081196,2022,20.6,0.42923470688033105,0.5285555210559524,0.33067368966282906,0.7339619698862513,0.33014002139989496
10,model_topk_2_norm_minmax_noise_False_ep_80_lr_1e-05,0.4705131817770517,horizon_6,14,0.1292762057139323,2024,11,0.1301948909576122,2020,12.0,0.42923470688033105,0.5285555210559524,0.33067368966282906,0.7339619698862513,0.33014002139989496
